"geoid","name","crime_other","crime_personal","crime_property","density","median_income","unemployed","education"
"060371852031","Block Group 1, Census Tract 1852.03, Los Angeles County, California",3,20,20,1528,17666,0.03829787234042553191,0.37486800422386483633
"060371852032","Block Group 2, Census Tract 1852.03, Los Angeles County, California",2,14,24,940,22349,0.1468788249694002448,0.45739130434782608696
"060371852033","Block Group 3, Census Tract 1852.03, Los Angeles County, California",2,19,17,675,27514,0.07246376811594202899,0.46744186046511627907
"060371852041","Block Group 1, Census Tract 1852.04, Los Angeles County, California",10,13,,1451,47436,0.07941653160453808752,0.76545454545454545455
"060371852042","Block Group 2, Census Tract 1852.04, Los Angeles County, California",1,7,18,510,24322,0.08333333333333333333,0.67323943661971830986
"060371853101","Block Group 1, Census Tract 1853.10, Los Angeles County, California",1,30,30,2206,10989,0.04476709013914095584,0.31979695431472081218
"060371853102","Block Group 2, Census Tract 1853.10, Los Angeles County, California",3,16,23,1353,15265,0.0205078125,0.1545893719806763285
"060371853201","Block Group 1, Census Tract 1853.20, Los Angeles County, California",2,17,13,1668,16377,0.09605361131794489948,0.26416906820365033622
"060371853202","Block Group 2, Census Tract 1853.20, Los Angeles County, California",3,84,106,1209,13535,0.03807615230460921844,0.20984759671746776084
"060371861001","Block Group 1, Census Tract 1861, Los Angeles County, California",6,7,,1357,29757,0.13894324853228962818,0.82636655948553054662
"060371861002","Block Group 2, Census Tract 1861, Los Angeles County, California",10,16,,1038,31107,0.03837471783295711061,0.6454431960049937578
"060371861003","Block Group 3, Census Tract 1861, Los Angeles County, California",1,27,58,1561,30957,0.00578871201157742402,0.63424437299035369775
"060371861004","Block Group 4, Census Tract 1861, Los Angeles County, California",3,8,27,658,33229,0.0571955719557195572,0.80942622950819672131
"060371862011","Block Group 1, Census Tract 1862.01, Los Angeles County, California",3,48,87,3013,22477,0.03739061256961018298,0.5462836297309621523
"060371862021","Block Group 1, Census Tract 1862.02, Los Angeles County, California",1,4,13,853,45548,0,0.95734597156398104265
"060371862022","Block Group 2, Census Tract 1862.02, Los Angeles County, California",1,27,33,1118,21907,0.06168831168831168831,0.73
"060371862031","Block Group 1, Census Tract 1862.03, Los Angeles County, California",4,8,36,1657,46364,0.05821917808219178082,0.83966565349544072948
"060371862032","Block Group 2, Census Tract 1862.03, Los Angeles County, California",3,19,47,1048,17723,0.09764705882352941176,0.7306176084099868594
"060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California",2,10,31,715,52204,0.01492537313432835821,0.71619365609348914858
"060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California",5,5,,785,13527,0.02682563338301043219,0.36717062634989200864
"060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California",4,7,8,1148,9745,0.02479338842975206612,0.19354838709677419355
"060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California",4,41,47,1376,30409,0.12827225130890052356,0.63961038961038961039
"060371863022","Block Group 2, Census Tract 1863.02, Los Angeles County, California",8,14,,1712,38521,0.0354046242774566474,0.64006384676775738228
"060371863023","Block Group 3, Census Tract 1863.02, Los Angeles County, California",4,24,44,1108,45896,0.02275189599133261105,0.70149253731343283582
"060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California",7,41,39,2463,13421,0.10450160771704180064,0.38390313390313390313
"060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California",5,52,53,1258,15079,0.01077586206896551724,0.328
"060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California",7,11,,1019,19044,0.03745743473325766175,0.43018867924528301887
"060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California",3,29,34,2051,16700,0.03491271820448877805,0.43533834586466165414
"060371864041","Block Group 1, Census Tract 1864.04, Los Angeles County, California",2,41,48,1521,15370,0.05621805792163543441,0.33436213991769547325
"060371864042","Block Group 2, Census Tract 1864.04, Los Angeles County, California",10,19,,840,15638,0.0559646539027982327,0.40401785714285714286
"060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California",2,7,18,1154,31046,0.03768115942028985507,0.75770020533880903491
"060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California",52,44,,1984,28017,0.03601575689364096792,0.81043745203376822717
"060371871021","Block Group 1, Census Tract 1871.02, Los Angeles County, California",2,15,26,925,19703,0.05307262569832402235,0.51415797317436661699
"060371871022","Block Group 2, Census Tract 1871.02, Los Angeles County, California",3,77,76,1914,25725,0.09358128374325134973,0.7047428189712758851
"060371872001","Block Group 1, Census Tract 1872, Los Angeles County, California",2,6,36,1668,16758,0.06515151515151515152,0.56885090218423551757
"060371872002","Block Group 2, Census Tract 1872, Los Angeles County, California",1,28,33,1371,13042,0.06412639405204460967,0.34629404617253948967
"060371873001","Block Group 1, Census Tract 1873, Los Angeles County, California",6,72,88,1648,44092,0.06138472519628836545,0.8439937597503900156
"060371873002","Block Group 2, Census Tract 1873, Los Angeles County, California",8,32,75,1526,48607,0.09084406294706723891,0.849959448499594485
"060371881001","Block Group 1, Census Tract 1881, Los Angeles County, California",2,42,64,2298,25898,0.11615871190339275446,0.61654135338345864662
"060371881002","Block Group 2, Census Tract 1881, Los Angeles County, California",1,42,104,683,43516,0.11463046757164404223,0.84688995215311004785
"060371881003","Block Group 3, Census Tract 1881, Los Angeles County, California",8,23,26,782,27843,0.05381165919282511211,0.55809523809523809524
"060371882011","Block Group 1, Census Tract 1882.01, Los Angeles County, California",3,38,46,1765,44304,0.04787234042553191489,0.89330543933054393305
"060371882012","Block Group 2, Census Tract 1882.01, Los Angeles County, California",2,30,45,607,56073,0.13344316309719934102,1.156507413509061
"060371882013","Block Group 3, Census Tract 1882.01, Los Angeles County, California",1,10,14,868,49645,0.03042876901798063624,0.86800573888091822095
"060371882021","Block Group 1, Census Tract 1882.02, Los Angeles County, California",19,30,,719,55016,0.1960486322188449848,1.0253378378378378
"060371882022","Block Group 2, Census Tract 1882.02, Los Angeles County, California",1,5,24,1150,60355,0.06812933025404157044,0.80171358629130966952
"060371882023","Block Group 3, Census Tract 1882.02, Los Angeles County, California",1,17,20,581,40204,0.02372262773722627737,0.92962962962962962963
"060371883001","Block Group 1, Census Tract 1883, Los Angeles County, California",1,19,15,1274,19907,0.09267840593141797961,0.67001114827201783724
"060371883002","Block Group 2, Census Tract 1883, Los Angeles County, California",2,10,10,1099,37500,0.06948640483383685801,0.63926002055498458376
"060371883003","Block Group 3, Census Tract 1883, Los Angeles County, California",14,20,,937,51450,0.02722772277227722772,0.90434782608695652174
"060371891011","Block Group 1, Census Tract 1891.01, Los Angeles County, California",5,28,41,1084,47655,0.0958627648839556004,0.8017456359102244389
"060371891012","Block Group 2, Census Tract 1891.01, Los Angeles County, California",2,6,29,871,26818,0.11645569620253164557,0.72177419354838709677
"060371891013","Block Group 3, Census Tract 1891.01, Los Angeles County, California",1,4,,821,43632,0.0837438423645320197,0.90621039290240811153
"060371891021","Block Group 1, Census Tract 1891.02, Los Angeles County, California",1,55,24,1176,76711,0.02396313364055299539,0.86995967741935483871
"060371891022","Block Group 2, Census Tract 1891.02, Los Angeles County, California",1,21,40,807,44942,0.12813370473537604457,0.91259259259259259259
"060371891023","Block Group 3, Census Tract 1891.02, Los Angeles County, California",1,5,17,913,42198,0.05257009345794392523,0.96433470507544581619
"060371892011","Block Group 1, Census Tract 1892.01, Los Angeles County, California",4,47,54,2275,27062,0.03671071953010279001,0.69633225458468176915
"060371892012","Block Group 2, Census Tract 1892.01, Los Angeles County, California",59,91,,1090,34108,0.1069723018147086915,0.94978632478632478632
"060371892021","Block Group 1, Census Tract 1892.02, Los Angeles County, California",11,16,,843,74508,0.07802340702210663199,0.89338731443994601889
"060371892022","Block Group 2, Census Tract 1892.02, Los Angeles County, California",2,16,18,678,58023,0.06603773584905660377,0.95332136445242369838
"060371892023","Block Group 3, Census Tract 1892.02, Los Angeles County, California",23,22,,1124,46098,0.18070009460737937559,0.91532258064516129032
"060371893001","Block Group 1, Census Tract 1893, Los Angeles County, California",6,23,,1169,116914,0.03796296296296296296,0.87065637065637065637
"060371893002","Block Group 2, Census Tract 1893, Los Angeles County, California",1,24,40,1203,85779,0.01969981238273921201,0.89300847457627118644
"060371893003","Block Group 3, Census Tract 1893, Los Angeles County, California",3,42,49,805,120338,0.06550218340611353712,0.91864406779661016949
"060371894001","Block Group 1, Census Tract 1894, Los Angeles County, California",8,49,,1445,78016,0.10888030888030888031,0.9194467046379170057
"060371894002","Block Group 2, Census Tract 1894, Los Angeles County, California",12,33,,676,81055,0.09508716323296354992,1.0082101806239737
"060371894003","Block Group 3, Census Tract 1894, Los Angeles County, California",9,34,,1255,65436,0.06939501779359430605,0.94152046783625730994
"060371895001","Block Group 1, Census Tract 1895, Los Angeles County, California",2,27,74,2715,52000,0.10727056019070321812,0.96186803770351328192
"060371895002","Block Group 2, Census Tract 1895, Los Angeles County, California",3,51,86,1636,47462,0.09341010876519513756,0.87876664330763840224
"060371896001","Block Group 1, Census Tract 1896, Los Angeles County, California",1,57,64,1548,49174,0.11111111111111111111,0.92067124332570556827
"060371896002","Block Group 2, Census Tract 1896, Los Angeles County, California",3,23,37,1166,46364,0.0541012216404886562,0.97782470960929250264
"060371896003","Block Group 3, Census Tract 1896, Los Angeles County, California",1,13,38,810,80656,0.15680473372781065089,0.93313069908814589666
"060371897011","Block Group 1, Census Tract 1897.01, Los Angeles County, California",1,10,15,917,57815,0.01741293532338308458,0.95598349381017881706
"060371897012","Block Group 2, Census Tract 1897.01, Los Angeles County, California",11,29,,885,98704,0.09224598930481283422,0.8729946524064171123
"060371897013","Block Group 3, Census Tract 1897.01, Los Angeles County, California",1,67,66,2125,46163,0.10089020771513353116,0.89536741214057507987
"060371897021","Block Group 1, Census Tract 1897.02, Los Angeles County, California",4,129,78,2135,83461,0.06995470558631102164,0.93112653497063534437
"060371898001","Block Group 1, Census Tract 1898, Los Angeles County, California",23,24,,2003,42113,0.05735140771637122002,0.83942857142857142857
"060371898002","Block Group 2, Census Tract 1898, Los Angeles County, California",2,37,64,899,79385,0.10421836228287841191,0.86074074074074074074
"060371898003","Block Group 3, Census Tract 1898, Los Angeles County, California",1,36,40,1264,40046,0.17912900575184880855,0.9328165374677002584
"060371899021","Block Group 1, Census Tract 1899.02, Los Angeles County, California",1,47,64,1718,33085,0.0974143114852675887,0.91459074733096085409
"060371899022","Block Group 2, Census Tract 1899.02, Los Angeles County, California",2,60,86,2153,57025,0.10038058991436726927,0.9586021505376344086
"060371899023","Block Group 3, Census Tract 1899.02, Los Angeles County, California",10,25,,1166,41918,0.09895833333333333333,0.81040892193308550186
"060371899041","Block Group 1, Census Tract 1899.04, Los Angeles County, California",4,130,134,2470,35173,0.1112040133779264214,0.84334334334334334334
"060371899051","Block Group 1, Census Tract 1899.05, Los Angeles County, California",1,24,36,627,57179,0.01003344481605351171,0.87295825771324863884
"060371899052","Block Group 2, Census Tract 1899.05, Los Angeles County, California",1,29,26,1857,32603,0.11490866234531526223,0.88775510204081632653
"060371901001","Block Group 1, Census Tract 1901, Los Angeles County, California",3,23,45,1485,35916,0.1034965034965034965,0.86094420600858369099
"060371901002","Block Group 2, Census Tract 1901, Los Angeles County, California",12,281,375,1948,27314,0.10719915922228060956,0.86080586080586080586
"060371901003","Block Group 3, Census Tract 1901, Los Angeles County, California",4,218,174,1257,33273,0.06702898550724637681,0.7755813953488372093
"060371902011","Block Group 1, Census Tract 1902.01, Los Angeles County, California",16,164,218,1405,18462,0.02664692820133234641,0.57175141242937853107
"060371902012","Block Group 2, Census Tract 1902.01, Los Angeles County, California",3,57,40,1364,18107,0.08407738095238095238,0.5128733264675592173
"060371902021","Block Group 1, Census Tract 1902.02, Los Angeles County, California",2,35,44,1287,28725,0.18427323272438443209,0.77911275415896487985
"060371902022","Block Group 2, Census Tract 1902.02, Los Angeles County, California",9,162,173,1823,25498,0.19130925507900677201,0.88898094449047224524
"060371903011","Block Group 1, Census Tract 1903.01, Los Angeles County, California",1,8,18,1943,17204,0.15955678670360110803,0.6167369901547116737
"060371903012","Block Group 2, Census Tract 1903.01, Los Angeles County, California",2,12,39,1423,22933,0.06182380216383307573,0.73961937716262975779
"060371903013","Block Group 3, Census Tract 1903.01, Los Angeles County, California",1,27,17,1259,32231,0.02859545836837678722,0.60206185567010309278
"060371904011","Block Group 1, Census Tract 1904.01, Los Angeles County, California",6,51,69,2269,29169,0.09357889497262319562,0.76
"060371904012","Block Group 2, Census Tract 1904.01, Los Angeles County, California",7,36,,1101,25180,0.05801104972375690608,0.69407894736842105263
"060371904021","Block Group 1, Census Tract 1904.02, Los Angeles County, California",2,27,36,2294,19531,0.06118546845124282983,0.64334923158452570217
"060371905101","Block Group 1, Census Tract 1905.10, Los Angeles County, California",4,107,175,3054,14277,0.12403400309119010819,0.5180496952648851383
"060371905102","Block Group 2, Census Tract 1905.10, Los Angeles County, California",52,59,,1558,19308,0.15664439495174461767,0.71563088512241054614
"060371905201","Block Group 1, Census Tract 1905.20, Los Angeles County, California",3,5,3,1823,11146,0.08605135322692574601,0.3698175787728026534
"060371905202","Block Group 2, Census Tract 1905.20, Los Angeles County, California",3,5,16,1844,17810,0.06169491525423728814,0.5238784370477568741
"060371907001","Block Group 1, Census Tract 1907, Los Angeles County, California",19,426,482,1183,34091,0.05018587360594795539,0.69075451647183846971
"060371907002","Block Group 2, Census Tract 1907, Los Angeles County, California",1,57,52,687,18447,0.01929260450160771704,0.48623853211009174312
"060371907003","Block Group 3, Census Tract 1907, Los Angeles County, California",1,40,37,1329,31949,0.08730800323362974939,0.7625250501002004008
"060371908011","Block Group 1, Census Tract 1908.01, Los Angeles County, California",5,98,84,1602,19044,0.14883061658398299079,0.4826904055390702275
"060371908012","Block Group 2, Census Tract 1908.01, Los Angeles County, California",6,109,99,917,22074,0.06367924528301886792,0.56903225806451612903
"060371908021","Block Group 1, Census Tract 1908.02, Los Angeles County, California",1,18,33,1493,15627,0.02931596091205211726,0.58143939393939393939
"060371908022","Block Group 2, Census Tract 1908.02, Los Angeles County, California",15,55,71,733,22716,0.04113924050632911392,0.59198113207547169811
"060371908023","Block Group 3, Census Tract 1908.02, Los Angeles County, California",4,1,,660,22643,0.07692307692307692308,0.76767676767676767677
"060371909011","Block Group 1, Census Tract 1909.01, Los Angeles County, California",1,55,34,871,19465,0.05223880597014925373,0.41408934707903780069
"060371909012","Block Group 2, Census Tract 1909.01, Los Angeles County, California",7,120,62,2382,13579,0.06231967686093479515,0.4056809905316824472
"060371909013","Block Group 3, Census Tract 1909.01, Los Angeles County, California",1,57,57,979,14880,0.09101251422070534699,0.52758620689655172414
"060371909021","Block Group 1, Census Tract 1909.02, Los Angeles County, California",3,33,29,1668,19175,0.11207519884309472162,0.53773584905660377358
"060371909022","Block Group 2, Census Tract 1909.02, Los Angeles County, California",26,29,,1609,14862,0.12872023809523809524,0.49501359927470534905
"060371909023","Block Group 3, Census Tract 1909.02, Los Angeles County, California",1,9,9,778,14369,0.12754158964879852126,0.40748440748440748441
"060371910001","Block Group 1, Census Tract 1910, Los Angeles County, California",2,147,172,361,20952,0.04788732394366197183,0.83285302593659942363
"060371910002","Block Group 2, Census Tract 1910, Los Angeles County, California",2,66,48,1980,16114,0.07508305647840531561,0.62195121951219512195
"060371910003","Block Group 3, Census Tract 1910, Los Angeles County, California",3,42,77,997,54812,0.25595854922279792746,0.84042553191489361702
"060371911101","Block Group 1, Census Tract 1911.10, Los Angeles County, California",4,73,56,2608,25665,0.06452938758734073161,0.58643122676579925651
"060371911102","Block Group 2, Census Tract 1911.10, Los Angeles County, California",5,102,100,849,11648,0.17478510028653295129,0.42444821731748726655
"060371911201","Block Group 1, Census Tract 1911.20, Los Angeles County, California",2,42,49,2419,15852,0.07950438822922044399,0.42504515352197471403
"060371911202","Block Group 2, Census Tract 1911.20, Los Angeles County, California",2,45,45,1964,13179,0.13766842413591095489,0.43980514961725817676
"060371912011","Block Group 1, Census Tract 1912.01, Los Angeles County, California",4,100,135,2527,16877,0.10757507844016136262,0.52336448598130841121
"060371912012","Block Group 2, Census Tract 1912.01, Los Angeles County, California",3,101,108,2408,23532,0.02324541797049620027,0.58029556650246305419
"060371912031","Block Group 1, Census Tract 1912.03, Los Angeles County, California",2,31,33,1702,16331,0.111760409057706355,0.52738515901060070671
"060371912032","Block Group 2, Census Tract 1912.03, Los Angeles County, California",1,23,48,897,20983,0.07930607187112763321,0.70967741935483870968
"060371912041","Block Group 1, Census Tract 1912.04, Los Angeles County, California",2,55,63,1744,16889,0.11104256631708821715,0.50997782705099778271
"060371913011","Block Group 1, Census Tract 1913.01, Los Angeles County, California",9,27,,519,28901,0.08118811881188118812,0.64233576642335766423
"060371913012","Block Group 2, Census Tract 1913.01, Los Angeles County, California",4,63,88,1965,18567,0.1151079136690647482,0.62672476397966594045
"060371913021","Block Group 1, Census Tract 1913.02, Los Angeles County, California",3,47,54,2105,21210,0.057747284162378502,0.60557768924302788845
"060371913022","Block Group 2, Census Tract 1913.02, Los Angeles County, California",3,38,84,372,26643,0.03098591549295774648,0.6112676056338028169
"060371914101","Block Group 1, Census Tract 1914.10, Los Angeles County, California",1,23,36,1723,14775,0.08050513022888713496,0.50451263537906137184
"060371914102","Block Group 2, Census Tract 1914.10, Los Angeles County, California",5,55,56,3286,14006,0.13404088050314465409,0.37304224015187470337
"060371914201","Block Group 1, Census Tract 1914.20, Los Angeles County, California",4,66,56,3081,12269,0.11615245009074410163,0.42912087912087912088
"060371914202","Block Group 2, Census Tract 1914.20, Los Angeles County, California",4,43,31,914,23540,0.05729166666666666667,0.52232142857142857143
"060371915001","Block Group 1, Census Tract 1915, Los Angeles County, California",1,52,58,979,23655,0.04353083434099153567,0.65321375186846038864
"060371915002","Block Group 2, Census Tract 1915, Los Angeles County, California",3,35,37,2048,14094,0.07703180212014134276,0.38823529411764705882
"060371915003","Block Group 3, Census Tract 1915, Los Angeles County, California",1,27,32,2604,11162,0.11018199704869650762,0.32340425531914893617
"060371916101","Block Group 1, Census Tract 1916.10, Los Angeles County, California",9,62,57,2512,15927,0.12608277189605389798,0.33614864864864864865
"060371916102","Block Group 2, Census Tract 1916.10, Los Angeles County, California",2,101,74,2098,21798,0.06150341685649202733,0.6510115606936416185
"060371916201","Block Group 1, Census Tract 1916.20, Los Angeles County, California",6,87,76,2917,16055,0.05594679186228482003,0.37214944201843765163
"060371917101","Block Group 1, Census Tract 1917.10, Los Angeles County, California",3,21,40,932,19480,0.17423312883435582822,0.54030874785591766724
"060371917102","Block Group 2, Census Tract 1917.10, Los Angeles County, California",7,3,,1873,17755,0.10838709677419354839,0.47262479871175523349
"060371917201","Block Group 1, Census Tract 1917.20, Los Angeles County, California",1,44,51,2454,17781,0.1039026862645717182,0.36761083743842364532
"060371917202","Block Group 2, Census Tract 1917.20, Los Angeles County, California",3,29,17,1817,11977,0.08339376359680928209,0.3869636963696369637
"060371918101","Block Group 1, Census Tract 1918.10, Los Angeles County, California",6,14,16,1802,12587,0.11695447409733124019,0.29814385150812064965
"060371918102","Block Group 2, Census Tract 1918.10, Los Angeles County, California",18,12,,1151,16917,0.16705882352941176471,0.46498599439775910364
"060371918103","Block Group 3, Census Tract 1918.10, Los Angeles County, California",1,31,42,947,31654,0.21489621489621489621,0.60544217687074829932
"060371918201","Block Group 1, Census Tract 1918.20, Los Angeles County, California",35,42,,867,48409,0.15131578947368421053,0.7625
"060371918202","Block Group 2, Census Tract 1918.20, Los Angeles County, California",3,38,31,1035,15021,0.13947990543735224586,0.35171385991058122206
"060371918203","Block Group 3, Census Tract 1918.20, Los Angeles County, California",3,53,55,721,24465,0.09160305343511450382,0.76923076923076923077
"060371919011","Block Group 1, Census Tract 1919.01, Los Angeles County, California",1,73,99,1226,42058,0.0864600326264274062,0.88949771689497716895
"060371919012","Block Group 2, Census Tract 1919.01, Los Angeles County, California",6,97,119,2565,25787,0.09974204643164230439,0.78208386277001270648
"060371919021","Block Group 1, Census Tract 1919.02, Los Angeles County, California",1,19,51,1407,50704,0.09307875894988066826,0.96877502001601281025
"060371919022","Block Group 2, Census Tract 1919.02, Los Angeles County, California",2,31,55,1537,59949,0.08614864864864864865,0.75892857142857142857
"060371920011","Block Group 1, Census Tract 1920.01, Los Angeles County, California",19,21,,1138,33795,0.10368217054263565891,0.85425531914893617021
"060371920012","Block Group 2, Census Tract 1920.01, Los Angeles County, California",7,119,125,1340,37835,0.01811906816220880069,0.77034883720930232558
"060371920021","Block Group 1, Census Tract 1920.02, Los Angeles County, California",2,71,76,699,53002,0.06006006006006006006,0.94294294294294294294
"060371920022","Block Group 2, Census Tract 1920.02, Los Angeles County, California",19,24,,653,87671,0.10828025477707006369,0.86538461538461538462
"060371920023","Block Group 3, Census Tract 1920.02, Los Angeles County, California",1,37,63,1220,56224,0.04624781849912739965,0.90471607314725697786
"060371923001","Block Group 1, Census Tract 1923, Los Angeles County, California",1,6,54,402,60997,0.10909090909090909091,0.91638795986622073579
"060371923002","Block Group 2, Census Tract 1923, Los Angeles County, California",19,19,,670,90807,0.0464,0.94675540765391014975
"060371923003","Block Group 3, Census Tract 1923, Los Angeles County, California",1,29,42,1699,63524,0.12483912483912483912,0.96425912137006701415
"060371924101","Block Group 1, Census Tract 1924.10, Los Angeles County, California",19,21,,1114,35211,0.08771929824561403509,0.95763656633221850613
"060371924102","Block Group 2, Census Tract 1924.10, Los Angeles County, California",14,10,,944,25986,0.1052023121387283237,0.58044554455445544554
"060371924103","Block Group 3, Census Tract 1924.10, Los Angeles County, California",9,18,,583,40863,0.01478743068391866913,0.84893617021276595745
"060371924104","Block Group 4, Census Tract 1924.10, Los Angeles County, California",12,27,,966,44592,0.09540229885057471264,0.96482412060301507538
"060371924201","Block Group 1, Census Tract 1924.20, Los Angeles County, California",2,63,59,1513,30038,0.03576751117734724292,0.68470790378006872852
"060371924202","Block Group 2, Census Tract 1924.20, Los Angeles County, California",4,50,72,2451,16787,0.13182063749324689357,0.4966799468791500664
"060371925101","Block Group 1, Census Tract 1925.10, Los Angeles County, California",2,70,80,1630,20154,0.09210526315789473684,0.67688483844241922121
"060371925102","Block Group 2, Census Tract 1925.10, Los Angeles County, California",2,93,58,2225,14668,0.12257726558407543216,0.46223369916074887024
"060371925201","Block Group 1, Census Tract 1925.20, Los Angeles County, California",1,21,17,3116,14542,0.07669108143041792331,0.44444444444444444444
"060371925202","Block Group 2, Census Tract 1925.20, Los Angeles County, California",63,38,,1884,12769,0.15909090909090909091,0.31689497716894977169
"060371926101","Block Group 1, Census Tract 1926.10, Los Angeles County, California",2,29,31,1397,13189,0.15238954012623985573,0.27640449438202247191
"060371926102","Block Group 2, Census Tract 1926.10, Los Angeles County, California",18,22,,853,14332,0.01714285714285714286,0.36321483771251931994
"060371926103","Block Group 3, Census Tract 1926.10, Los Angeles County, California",2,17,13,2721,11085,0.1743919229004130335,0.39437428243398392652
"060371926201","Block Group 1, Census Tract 1926.20, Los Angeles County, California",2,25,19,2438,14139,0.1371012870733072188,0.47797062750333778371
"060371926202","Block Group 2, Census Tract 1926.20, Los Angeles County, California",92,87,,1330,16760,0.11022927689594356261,0.51937984496124031008
"060371927001","Block Group 1, Census Tract 1927, Los Angeles County, California",2,52,48,2226,14009,0.08476237138657520823,0.41582391433670434265
"060371927002","Block Group 2, Census Tract 1927, Los Angeles County, California",67,36,,676,19379,0.15822784810126582278,0.47738693467336683417
"060371941011","Block Group 1, Census Tract 1941.01, Los Angeles County, California",3,64,156,2944,64203,0.13632686084142394822,0.90458333333333333333
"060371941021","Block Group 1, Census Tract 1941.02, Los Angeles County, California",9,32,,823,96192,0.0634674922600619195,0.97647058823529411765
"060371941022","Block Group 2, Census Tract 1941.02, Los Angeles County, California",1,59,40,1704,73963,0.02315484804630969609,0.92336874051593323217
"060371941023","Block Group 3, Census Tract 1941.02, Los Angeles County, California",2,16,25,932,110564,0.06658291457286432161,1.055793991416309
"060371942001","Block Group 1, Census Tract 1942, Los Angeles County, California",2,29,51,2587,81897,0.08306414397784956161,0.88724035608308605341
"060371942002","Block Group 2, Census Tract 1942, Los Angeles County, California",1,47,54,1034,209629,0.03787878787878787879,0.9808126410835214447
"060371943001","Block Group 1, Census Tract 1943, Los Angeles County, California",3,12,19,1182,105058,0,0.73413566739606126915
"060371943002","Block Group 2, Census Tract 1943, Los Angeles County, California",3,24,19,1145,143517,0.15,0.86887115165336374002
"060371943003","Block Group 3, Census Tract 1943, Los Angeles County, California",1,12,15,1373,81202,0.1465661641541038526,0.81818181818181818182
"060371944011","Block Group 1, Census Tract 1944.01, Los Angeles County, California",1,43,70,1423,47780,0.05660377358490566038,0.7776
"060371944012","Block Group 2, Census Tract 1944.01, Los Angeles County, California",1,23,26,1037,44609,0.08408408408408408408,0.77284595300261096606
"060371944021","Block Group 1, Census Tract 1944.02, Los Angeles County, California",38,50,,1046,97582,0.12230215827338129496,0.87276785714285714286
"060371944022","Block Group 2, Census Tract 1944.02, Los Angeles County, California",1,19,50,999,107212,0.08299595141700404858,0.95739348370927318296
"060371944023","Block Group 3, Census Tract 1944.02, Los Angeles County, California",1,8,43,1463,53073,0.01134644478063540091,0.92767857142857142857
"060371945001","Block Group 1, Census Tract 1945, Los Angeles County, California",41,28,,1030,43030,0.04175365344467640919,0.78490990990990990991
"060371945002","Block Group 2, Census Tract 1945, Los Angeles County, California",8,113,293,1172,68808,0.09609292502639915523,0.95063145809414466131
"060371951001","Block Group 1, Census Tract 1951, Los Angeles County, California",11,20,,1485,59066,0.09923011120615911035,0.83708370837083708371
"060371951002","Block Group 2, Census Tract 1951, Los Angeles County, California",19,48,,771,38125,0.12305516265912305516,0.70731707317073170732
"060371951003","Block Group 3, Census Tract 1951, Los Angeles County, California",1,8,30,745,64826,0.10213414634146341463,0.89147286821705426357
"060371951004","Block Group 4, Census Tract 1951, Los Angeles County, California",4,10,43,1520,105924,0.07874015748031496063,0.90539541759053954176
"060371952011","Block Group 1, Census Tract 1952.01, Los Angeles County, California",2,48,65,1807,40976,0.09122401847575057737,0.85072815533980582524
"060371952012","Block Group 2, Census Tract 1952.01, Los Angeles County, California",3,20,48,1088,56942,0.10388247639034627492,0.94488188976377952756
"060371952021","Block Group 1, Census Tract 1952.02, Los Angeles County, California",2,3,23,869,63323,0.07575757575757575758,0.89203084832904884319
"060371952022","Block Group 2, Census Tract 1952.02, Los Angeles County, California",1,16,30,1013,79369,0.08791208791208791209,0.85517241379310344828
"060371952023","Block Group 3, Census Tract 1952.02, Los Angeles County, California",6,18,47,1472,52520,0.0128,0.93732460243217960711
"060371953001","Block Group 1, Census Tract 1953, Los Angeles County, California",19,28,,1412,31203,0.1011952191235059761,0.6194605009633911368
"060371953002","Block Group 2, Census Tract 1953, Los Angeles County, California",1,21,20,351,57116,0.03246753246753246753,0.87197231833910034602
"060371953003","Block Group 3, Census Tract 1953, Los Angeles County, California",3,23,49,1579,37033,0.08321775312066574202,0.88363363363363363363
"060371954001","Block Group 1, Census Tract 1954, Los Angeles County, California",2,16,,622,70081,0,0.9495145631067961165
"060371954002","Block Group 2, Census Tract 1954, Los Angeles County, California",3,40,46,1342,46296,0.05475285171102661597,0.76917177914110429448
"060371954003","Block Group 3, Census Tract 1954, Los Angeles County, California",25,48,,904,46405,0.12788018433179723502,0.77541371158392434988
"060371954004","Block Group 4, Census Tract 1954, Los Angeles County, California",2,32,44,1130,51994,0.09356725146198830409,0.73497536945812807882
"060371955001","Block Group 1, Census Tract 1955, Los Angeles County, California",2,36,53,2196,40033,0.10947368421052631579,0.84013801035077630822
"060371955002","Block Group 2, Census Tract 1955, Los Angeles County, California",15,25,,1067,42452,0.03117206982543640898,0.63492063492063492063
"060371955003","Block Group 3, Census Tract 1955, Los Angeles County, California",2,11,31,960,38088,0.01736111111111111111,0.77373974208675263775
