"geoid","name","crime_other","crime_personal","crime_property","density","median_income","unemployed","education"
"060371041051","Block Group 1, Census Tract 1041.05, Los Angeles County, California",3,14,25,1593,20582,0.05810928013876843018,0.59850606909430438842
"060371041052","Block Group 2, Census Tract 1041.05, Los Angeles County, California",14,11,,4078,11281,0.16141592920353982301,0.24619911721432074546
"060371041081","Block Group 1, Census Tract 1041.08, Los Angeles County, California",4,53,80,2239,15002,0.06846846846846846847,0.3134447096260938743
"060371041082","Block Group 2, Census Tract 1041.08, Los Angeles County, California",2,37,45,2169,12039,0.06401045068582625735,0.2837285363859362224
"060371041083","Block Group 3, Census Tract 1041.08, Los Angeles County, California",1,12,14,987,14075,0.0703125,0.25800711743772241993
"060371041241","Block Group 1, Census Tract 1041.24, Los Angeles County, California",4,33,16,1783,20086,0.08466342817487855656,0.43425324675324675325
"060371041242","Block Group 2, Census Tract 1041.24, Los Angeles County, California",36,40,,1949,18129,0.05659203980099502488,0.63488543976348854398
"060371041243","Block Group 3, Census Tract 1041.24, Los Angeles County, California",3,2,,546,32993,0.1701680672268907563,0.95939086294416243655
"060371042011","Block Group 1, Census Tract 1042.01, Los Angeles County, California",17,27,,1372,11422,0.05597722960151802657,0.24619289340101522843
"060371042012","Block Group 2, Census Tract 1042.01, Los Angeles County, California",2,35,19,2327,11734,0.04900181488203266788,0.15939730372720063442
"060371042013","Block Group 3, Census Tract 1042.01, Los Angeles County, California",1,24,38,998,13041,0.18424566088117489987,0.22413793103448275862
"060371042031","Block Group 1, Census Tract 1042.03, Los Angeles County, California",5,96,92,2508,10502,0.08783008036739380023,0.17756315007429420505
"060371042032","Block Group 2, Census Tract 1042.03, Los Angeles County, California",1,53,39,2104,13199,0.09244222361024359775,0.25680272108843537415
"060371042041","Block Group 1, Census Tract 1042.04, Los Angeles County, California",1,32,41,1593,10857,0.07054963084495488105,0.28994082840236686391
"060371042042","Block Group 2, Census Tract 1042.04, Los Angeles County, California",1,42,48,2035,17314,0.09066843150231634679,0.36609336609336609337
"060371043101","Block Group 1, Census Tract 1043.10, Los Angeles County, California",31,30,,1420,11167,0.13498622589531680441,0.16666666666666666667
"060371043102","Block Group 2, Census Tract 1043.10, Los Angeles County, California",1,39,51,1756,13150,0.07652303120356612184,0.23265306122448979592
"060371043103","Block Group 3, Census Tract 1043.10, Los Angeles County, California",3,47,42,1549,13814,0.12134632418069087688,0.26560846560846560847
"060371043201","Block Group 1, Census Tract 1043.20, Los Angeles County, California",3,57,47,2740,11034,0.11277108433734939759,0.16400491400491400491
"060371043202","Block Group 2, Census Tract 1043.20, Los Angeles County, California",6,34,43,1778,12594,0.16171138506163886875,0.35374771480804387569
"060371043203","Block Group 3, Census Tract 1043.20, Los Angeles County, California",1,20,14,534,13879,0.09932279909706546275,0.16010498687664041995
"060371043204","Block Group 4, Census Tract 1043.20, Los Angeles County, California",4,60,94,731,16519,0,0.27311827956989247312
"060371044011","Block Group 1, Census Tract 1044.01, Los Angeles County, California",3,52,47,1394,14542,0.10769230769230769231,0.11633663366336633663
"060371044012","Block Group 2, Census Tract 1044.01, Los Angeles County, California",2,16,36,1896,14481,0.09244883556810162315,0.17948717948717948718
"060371044031","Block Group 1, Census Tract 1044.03, Los Angeles County, California",2,40,31,2042,12043,0.07928197456993268512,0.30960854092526690391
"060371044032","Block Group 2, Census Tract 1044.03, Los Angeles County, California",3,35,64,1226,11554,0.11067961165048543689,0.12090680100755667506
